#{"t_start": 1748183248.456543, "env_id": "None"}
r,l,t
-9207375.907979,150,3169.962676
-14566635.312192,150,3179.272519
-8088040.297348,150,3184.209101
-10030848.366663,150,3188.90473
-1717581.572486,150,3200.788841
-10903705.09885,150,3216.49906
-10004575.433752,150,3221.841874
-12280558.706413,150,3225.981442
-3963306.053417,150,3236.27265
-11409849.89728,150,3242.514723
-8612745.919217,150,3250.452693
-10306137.794224,150,3258.595198
-11292644.316473,150,3268.097735
-11716519.004701,150,3282.410296
-8250882.40571,150,3290.464765
-8072296.925687,150,3297.37289
-12077511.14741,150,3311.920222
-5884281.799981,150,3323.0733
-8475718.797847,150,3335.276573
-6387124.866043,150,3342.249766
-10500160.450385,150,3348.84776
-7133493.192807,150,3363.523657
-12169000.454345,150,3370.25062
-3831486.600379,150,3378.54727
-3241183.664111,150,3386.854549
-10344486.129835,150,3397.96519
-12021023.606892,150,3407.046864
-5970104.574352,150,3420.903769
-8035257.894537,150,3428.303368
-14497370.08903,150,3435.462466
-7634114.890213,150,3441.24539
-10314375.433036,150,3449.379919
-9431393.624129,150,3460.230211
-10825825.552251,150,3468.934179
-7820946.61396,150,3482.365914
-6253612.496077,150,3487.84069
-9411073.76747,150,3493.065779
-11181052.074043,150,3499.603383
-6907868.132949,150,3519.427383
-7946716.841045,150,3527.682925
-11771400.921939,150,3535.697186
-4852093.715153,150,3546.638688
-6560145.816559,150,3559.520995
-3462370.829873,150,3567.645507
-9259969.007052,150,3573.678825
-8160595.446247,150,3578.843657
-14546811.577693,150,3588.486876
-9506027.996703,150,3596.65303
-10175422.51596,150,3606.581669
-9103913.45,150,3611.591259
-11252555.063511,150,3616.510435
-10754713.671833,150,3626.026798
-10996134.536813,150,3634.367874
-13133333.381168,150,3644.818964
-10297859.603415,150,3662.467449
-8196626.103682,150,3676.952648
-10324734.617912,150,3685.058135
-6367277.407718,150,3689.888515
-13514221.667564,150,3694.574213
-9875714.027909,150,3701.40145
-5809274.616973,150,3709.463394
-9804696.83831,150,3723.424986
-15294697.576284,150,3731.891146
-8529783.342702,150,3742.689689
-8187149.825781,150,3758.009443
-5766300.162815,150,3772.772306
-6426986.404673,150,3783.685723
-10833302.740149,150,3788.479475
-11174019.75037,150,3792.842166
-4503746.924282,150,3802.388216
-7525498.381727,150,3816.525967
-9584718.970421,150,3830.146904
-8265134.802037,150,3837.543503
-7962772.725586,150,3849.141786
-11320217.781275,150,3858.161233
-12056059.790367,150,3865.074316
-5572062.741338,150,3873.391772
-6809631.844997,150,3878.62676
-10969390.832475,150,3890.578721
-11949222.434131,150,3897.855927
-5834798.19003,150,3908.35397
-9628058.15536,150,3913.304391
-12251619.274035,150,3921.329265
-8387651.113614,150,3929.252921
-12702647.933375,150,3936.110193
-13640785.153047,150,3942.847817
-10073948.673366,150,3955.702276
-8754874.305663,150,3965.382746
-8019249.317093,150,3970.21014
-10394855.891341,150,3984.597806
-9550969.325618,150,3990.625808
-14577816.629497,150,4006.489689
-9344391.710106,150,4013.471359
-10902597.932802,150,4023.301728
-9180282.653794,150,4034.308606
-6222948.36888,150,4041.966135
-10705159.365577,150,4051.35012
-14231294.887507,150,4067.638727
-12559701.238415,150,4075.630475
-12554961.952471,150,4083.781468
-12934531.510288,150,4091.406139
-11111080.513979,150,4097.507814
-10238601.248715,150,4110.969474
-7711808.124963,150,4127.014998
-11525644.321171,150,4136.469062
-6911875.743487,150,4159.575244
-9461390.198123,150,4164.411183
-10674091.592964,150,4178.77873
-7040128.707737,150,4184.27782
-9074116.735952,150,4193.964615
-3741520.725853,150,4202.234953
-11385877.982424,150,4209.959987
-11139991.657571,150,4218.211453
-9871277.8957,150,4231.593195
-10663608.103264,150,4241.759267
-3634979.095032,150,4248.537019
-12198240.570976,150,4253.279951
-7903369.464578,150,4264.932959
-10126707.760253,150,4271.455957
-12977558.431994,150,4288.388088
-11305245.793995,150,4301.845393
-9462842.19382,150,4308.717259
-9803345.1665,150,4324.733135
-13666948.055146,150,4334.645666
-7881674.477597,150,4340.900122
-9700780.66918,150,4349.883806
-13776121.966557,150,4368.994333
-12842538.679888,150,4386.018429
-11118696.470137,150,4395.936369
-3880080.215112,150,4403.193017
-12436048.663712,150,4408.762073
-11385299.181682,150,4413.172851
-9043782.491689,150,4425.073416
-8249452.891263,150,4431.597897
-9017021.585773,150,4437.502179
-3233011.640864,150,4445.972543
-10678161.249058,150,4459.700946
-6819963.410819,150,4466.77703
-12798389.650121,150,4474.199138
-8770541.777619,150,4490.425334
-13039708.290822,150,4501.633512
-10065529.107091,150,4509.142176
-5048638.724639,150,4513.840095
-11062064.63622,150,4522.589684
-7460883.075396,150,4535.732718
-12542608.361516,150,4541.283378
-11172047.651473,150,4546.034194
-12101785.228218,150,4560.499398
-9411616.606548,150,4579.997864
-6491401.468323,150,4585.997062
-10269821.140448,150,4596.209519
-10302325.506693,150,4606.29991
-11719208.330936,150,4624.007974
-7856437.428251,150,4630.888754
-1975932.584793,150,4644.391343
-8735844.3354,150,4653.076064
-10624373.159106,150,4659.479792
-10837756.067252,150,4664.413364
-9234056.563288,150,4669.535642
-9166779.846274,150,4678.766452
-9425774.485501,150,4688.32276
-7996590.925042,150,4696.23979
-5268586.244961,150,4705.183966
-9601547.803023,150,4711.555899
-11940234.363107,150,4719.735499
-6450163.554831,150,4725.13892
-6602258.069133,150,4736.493328
-9491875.54756,150,4746.460013
-9629336.073418,150,4755.172818
-8389856.05642,150,4767.374457
-8928561.887181,150,4772.924957
-7437315.023451,150,4779.353526
-10117525.93133,150,4788.828584
-14453724.319844,150,4800.172039
-10904869.927222,150,4808.347158
-8369117.808123,150,4822.331746
